Date,Open,High,Low,Close,Adj Close,Volume
2017-07-03,36.220001,36.325001,35.775002,35.875000,34.054874,57111200
2017-07-05,35.922501,36.197498,35.680000,36.022499,34.194893,86278400
2017-07-06,35.755001,35.875000,35.602501,35.682499,33.872147,96515200
2017-07-07,35.724998,36.187500,35.724998,36.044998,34.216255,76806800
2017-07-10,36.027500,36.487499,35.842499,36.264999,34.425087,84362400
2017-07-11,36.182499,36.462502,36.095001,36.382500,34.536629,79127200
2017-07-12,36.467499,36.544998,36.205002,36.435001,34.586468,99538000
2017-07-13,36.375000,37.122501,36.360001,36.942501,35.068226,100797600
2017-07-14,36.992500,37.332500,36.832500,37.259998,35.369606,80528400
2017-07-17,37.205002,37.724998,37.142502,37.389999,35.493011,95174000
2017-07-18,37.299999,37.532501,37.167500,37.520000,35.616417,71475200
2017-07-19,37.619999,37.855000,37.487499,37.755001,35.839497,83692000
2017-07-20,37.875000,37.935001,37.547501,37.584999,35.678120,68974800
2017-07-21,37.497501,37.610001,37.220001,37.567501,35.661503,105010400
2017-07-24,37.645000,38.110001,37.474998,38.022499,36.093422,85972800
2017-07-25,37.950001,38.459999,37.950001,38.185001,36.247684,75415600
2017-07-26,38.337502,38.482498,38.264999,38.365002,36.418549,63124000
2017-07-27,38.437500,38.497501,36.825001,37.639999,35.730331,129905200
2017-07-28,37.472500,37.557499,37.297501,37.375000,35.478783,68854800
2017-07-31,37.474998,37.582500,37.032501,37.182499,35.296040,79383600
